Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization
180905_Blk_Blk_1,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1
180905_Blk_Blk_2,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1
180905_Std_H2OinMatrix_1,,RP_POS Metabolomics,15,CyanoAq,H2OinMatrix,1,1
180905_Std_250nMStdsInH2O_1,,RP_POS Metabolomics,15,CyanoAq,4uMStdMix4InH2O,1,1
180905_Std_250nMStdsInMatrix_1,,RP_POS Metabolomics,15,CyanoAq,4uMStdMix4InMatrix,1,1
180905_Blk_Blk_3,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Blk_Blk_4,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_MesoScopeQC_1,,RP_POS Metabolomics,8,CyanoAq,MesoScopeQC,1,1
180905_Poo_Day1and2Poo_Half1,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,0.5
180905_Poo_Day1and2Poo_Full1,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Blk_Blk_6,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS4C115m_A,,RP_POS Metabolomics,8,CyanoAq,MS4C115m,1,1
180905_Smp_MS5C1DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS5C1DCM,1,1
180905_Blk_Blk_7,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS6C3175m_C,,RP_POS Metabolomics,8,CyanoAq,MS6C3175m,1,1
180905_Smp_MS7C115m_B,,RP_POS Metabolomics,8,CyanoAq,MS7C115m,1,1
180905_Blk_Blk_8,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS8C1DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS8C1DCM,1,1
180905_Smp_MS9C2175m_C,,RP_POS Metabolomics,8,CyanoAq,MS9C2175m,1,1
180905_Blk_Blk_9,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS10C215m_A,,RP_POS Metabolomics,8,CyanoAq,MS10C215m,1,1
180905_Smp_MS11C2DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS11C2DCM,1,1
180905_Blk_Blk_10,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS12C1175m_A,,RP_POS Metabolomics,8,CyanoAq,MS12C1175m,1,1
180905_Smp_MS13C315m_B,,RP_POS Metabolomics,8,CyanoAq,MS13C315m,1,1
