"","Sample.Name","Notes","Column","uLonColumn","Fraction","Sample.Group","Treatment.Group","Bio.Normalization"
"1","180821_Blk_Blk_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"2","180821_Blk_Blk_2",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"3","180821_Blk_Blk_3",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"4","180821_Std_4uMStdsMix1InH2O_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","4uMStdsMix1InH2O",1,1
"5","180821_Std_4uMStdsMix2InH2O_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","4uMStdsMix2InH2O",1,1
"6","180821_Std_4uMStdsMix1InMatrix_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","4uMStdsMix1InMatrix",1,1
"7","180821_Std_4uMStdsMix2InMatrix_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","4uMStdsMix2InMatrix",1,1
"8","180821_Blk_Blk_4",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"9","180821_Blk_Blk_5",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"10","180821_Std_H2OInMatrix_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","H2OInMatrix",1,1
"11","180821_Blk_Blk_6a",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"12","180821_Poo_MesoScopeQC_1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","MesoScopeQC",1,1
"13","180821_Poo_Day1and2Poo_Half1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Day1and2Poo",1,0.5
"14","180821_Poo_Day1and2Poo_Full1",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Day1and2Poo",1,1
"15","180821_Blk_Blk_6",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"16","180821_Smp_MS4C115m_A",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","MS4C115m",1,1
"17","180821_Smp_MS5C1DCM_B",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","MS5C1DCM",1,1
"18","180821_Blk_Blk_7",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
"19","180821_Smp_MS6C3175m_C",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","MS6C3175m",1,1
"20","180821_Smp_MS7C115m_B",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","MS7C115m",1,1
"21","180821_Blk_Blk_8",NA,"ZIC pHILIC_85 to 15_ACN",2,"HILIC","Blk",1,1
