"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Full1",52100340,"Inj_vol",50764433.8461538,"180821_Poo_Day1and2Poo_Full1 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Full2",39581728,"Inj_vol",38566811.8974359,"180821_Poo_Day1and2Poo_Full2 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Full3",55869688,"Inj_vol",54437131.8974359,"180821_Poo_Day1and2Poo_Full3 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Full4",63632484,"Inj_vol",62000881.8461538,"180821_Poo_Day1and2Poo_Full4 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Full5",64080196,"Inj_vol",62437114.051282,"180821_Poo_Day1and2Poo_Full5 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Full6",68660816,"Inj_vol",66900282.2564103,"180821_Poo_Day1and2Poo_Full6 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Half1",27779714,"Inj_vol",54134827.2820513,"180821_Poo_Day1and2Poo_Half1 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Half2",21481762,"Inj_vol",41861895.1794872,"180821_Poo_Day1and2Poo_Half2 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Half3",29578770,"Inj_vol",57640680,"180821_Poo_Day1and2Poo_Half3 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.151516235495511,0.151516235495511,"180821","Poo","Day1and2Poo","Half4",32788278,"Inj_vol",63895105.8461538,"180821_Poo_Day1and2Poo_Half4 (3-Carboxypropyl)trimethylammonium (TMAB)"
