"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Full1",2204,"Inj_vol",2147.48717948718,"180905_Poo_Day1and2Poo_Full1 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Full2",1620,"Inj_vol",1578.46153846154,"180905_Poo_Day1and2Poo_Full2 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Full3",1373,"Inj_vol",1337.79487179487,"180905_Poo_Day1and2Poo_Full3 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Full4",7015,"Inj_vol",6835.12820512821,"180905_Poo_Day1and2Poo_Full4 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Full5",3528,"Inj_vol",3437.53846153846,"180905_Poo_Day1and2Poo_Full5 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Full6",1725,"Inj_vol",1680.76923076923,"180905_Poo_Day1and2Poo_Full6 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Half1",1840,"Inj_vol",3585.64102564103,"180905_Poo_Day1and2Poo_Half1 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Half2",3245,"Inj_vol",6323.58974358974,"180905_Poo_Day1and2Poo_Half2 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Half3",1659,"Inj_vol",3232.92307692308,"180905_Poo_Day1and2Poo_Half3 3 Indolepropionic Acid"
"3 Indolepropionic Acid","Inj_vol",0.35695656501026,0.35695656501026,"180905","Poo","Day1and2Poo","Half4",1606,"Inj_vol",3129.64102564103,"180905_Poo_Day1and2Poo_Half4 3 Indolepropionic Acid"
