"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Vitamin B3",0.0205697032592953,0.00153656642645532,0.0539269321323003,0.123418219555772,0.0092193985587319,0.323561592793802,0.0000635259159428691,0.0000120052485198252,0.000174678983157246
"Valine",3.07677178479523,2.22468081661666,6.55071476191839,15.3838589239762,11.1234040830833,32.753573809592,0.00752806537131841,0.0016243797765346,0.0242997412218607
"Uridine",0.00952025502559087,0.000228240436396805,0.0535007195305954,0.0856822952303178,0.00205416392757124,0.481506475775359,0.0000331383020142596,0.0000024483177936242,0.000188210824035479
"Uracil",0.0773609017164727,0.0369371731522954,0.222165883652519,0.309443606865891,0.147748692609181,0.888663534610075,0.000144498292020825,0.0000264624445282583,0.00069213501264884
"UDP-glucosamine",0.00303969097163953,0.00118850861425369,0.0211681537814989,0.0516747465178719,0.0202046464423128,0.35985861428548,0.000021933415588359,0.00000373846234013895,0.000139713180871898
"Tyrosine",0.0521480903848619,0.0105556073192722,0.171763709880457,0.469332813463757,0.0950004658734497,1.54587338892411,0.00025140424998931,0.0000624420195014978,0.000842051005764611
"Turicine",0.0174368691707679,0.0026798927519228,0.0520457259852171,0.122058084195376,0.0187592492634596,0.364320081896519,0.0000598933443457298,0.0000114215492936802,0.000150058142699659
"Trimethylammonium Propionate (TMAP)",8.39980643923025,3.56980162720137,27.159455508716,50.3988386353815,21.4188097632082,162.956733052296,0.027277787335672,0.00503312204031442,0.0632670793901507
"Trimethylamine N-oxide",2.08740328929289,0.359806028661905,26.8144021812158,6.26220986787867,1.07941808598571,80.4432065436475,0.00342625837698443,0.00051271542223312,0.0411736992721096
"Trimethyl-L-lysine",2.98697797251065,0.513317808054738,19.4797383110257,26.8828017525959,4.61986027249264,175.317644799232,0.0121855341277139,0.00323127299690919,0.0831658395540333
"Trigonelline",0.0349229397850473,0.00869393424621712,0.190475546304306,0.244460578495331,0.0608575397235199,1.33332882413014,0.000130743320975402,0.0000329218203174285,0.000682445198225447
"trans Hydroxyl proline",0.00218759175905902,0.00012788681582424,0.00916023992464582,0.0109379587952951,0.0006394340791212,0.0458011996232291,0.00000500947826245483,0.000000610363124487058,0.0000189194672019633
"Thymine",0.0458236264757997,0.00651437321000867,0.136865668929091,0.229118132378998,0.0325718660500433,0.684328344645453,0.000111964853111701,0.0000252052906572913,0.000286221728235887
"Thymidine",0.00176962434346546,0.000437690113618565,0.0363849983423751,0.0176962434346546,0.00437690113618565,0.363849983423751,0.00000724046191307343,0.00000147101326725243,0.000151096892870871
"Threonine",0.012435641634199,0.00216153977386549,0.085076629863837,0.049742566536796,0.00864615909546197,0.340306519455348,0.0000273197564983854,0.00000494681830948674,0.000166789782030563
"Taurine",0.470153313598491,0.0547249133215205,22.2315023244103,0.940306627196982,0.109449826643041,44.4630046488206,0.000427349474157973,0.000102760903397682,0.131247716600245
"Sulfolactic Acid",0.0104603814335093,0.00172823451272408,0.0283485015158456,0.0313811443005278,0.00518470353817225,0.0850455045475369,0.000012980302147187,0.000000957974156780099,0.00374298148233079
"Sulfoacetic Acid",0.00777833380915544,0.00139334974999558,0.0259110959150144,0.0155566676183109,0.00278669949999116,0.0518221918300288,0.000003235200728773,0.00000162081945197359,0.0000142620566583861
"Sucrose",0.198025120900011,0.00183196930051327,0.769887320292726,2.37630145080013,0.0219836316061593,9.23864784351271,0.000674675596504312,0.0000219674749203063,0.0047286691360733
"Succinic semialdehyde",0.000110766435752297,0.0000249244409206449,0.000476601693896068,0.000443065743009188,0.0000996977636825796,0.00190640677558427,0.000000196198818449081,0.0000000369023539023167,0.00000289043116497533
"Succinic Acid",0.0885971863349095,0.0430000885009563,0.138070448805073,0.354388745339638,0.172000354003825,0.552281795220293,0.000173691710884306,0.0000417121122264325,0.000837351468321349
"Stachydrine hydrochloride",0.0167881636534532,0.00345894340039843,0.0576680036247481,0.117517145574173,0.024212603802789,0.403676025373237,0.0000571740048925913,0.000010351490941612,0.0002066157726204
"Shikimic Acid",0.00592993236945284,0.00103113198231002,0.204824235854887,0.0415095265861699,0.00721792387617016,1.43376965098421,0.0000231559913804084,0.00000141513900748196,0.00124876708992239
"Serine",0.166327834142895,0.091433822027988,0.384574447714194,0.498983502428684,0.274301466083964,1.15372334314258,0.000254738126016504,0.0000420176284477307,0.000828356677305551
"Sarcosine",0.0692600165088457,0.00975880658340299,0.29177556151818,0.207780049526537,0.029276419750209,0.875326684554539,0.0000922804486225706,0.0000238290460316469,0.00036349910212616
"Salicylic Acid",0.00147672182168657,0.000410634812697194,0.00995614591712802,0.010337052751806,0.00287444368888036,0.0696930214198962,0.00000493850323458792,0.00000101992467647942,0.0000585115620220913
"Ribose 5 phosphate",0.00596177918505103,0.00454840764066885,0.0146628391655756,0.0298088959252551,0.0227420382033442,0.073314195827878,0.0000139268491370499,0.000005620750085607,0.0000284638441197693
"Resorcylic Acid",0.00012964375452724,0.0000949374947266925,0.000278181506612125,0.000907506281690677,0.000664562463086848,0.00194727054628488,0.000000420715369881714,0.00000010060785508288,0.00000137189935402135
"Propionyl-L-carnitine",0.000873591299666759,0.0002110454156465,0.00282158055081201,0.00873591299666759,0.002110454156465,0.0282158055081201,0.000005098032904543,0.00000100966834536417,0.0000111210445913227
"Propanesulfonate",0.000101067999027064,0.0000347093710946543,0.00414108524807575,0.000303203997081191,0.000104128113283963,0.0124232557442273,0.000000190948223946149,0.0000000447628175838346,0.00000341902129278757
"Proline",0.13848975846214,0.0315300786083412,0.565922359219799,0.692448792310699,0.157650393041706,2.829611796099,0.000333664473551618,0.00010239353192804,0.0965624598873741
"PQS",0.00100809745833314,0.0000552062115645816,0.0116715565677382,0.0161295593333303,0.000883299385033306,0.186744905083811,0.00000811808166666759,0.000000400541513545934,0.0000872480526194689
"PEP",0.0114807282798685,0.00666281360043308,0.0219787936640771,0.0344421848396055,0.0199884408012992,0.0659363809922313,0.0000142750076735442,0.00000772863792656306,0.0000917738967761483
"Oxalic Acid",0.0959058223597149,0.0172107582754131,1.06490579207237,0.19181164471943,0.0344215165508262,2.12981158414474,0.000106410836587838,0.00000458885768179197,0.00239407959824236
"Orotic Acid",0.000186869021875707,0.0000092900937839395,0.00344088464208672,0.000934345109378533,0.0000464504689196975,0.0172044232104336,0.000000449041628724299,0.0000000253019842066698,0.00000903818987015482
"Ornithine",0.0249202818529979,0.00521892415767081,0.125095938237803,0.124601409264989,0.0260946207883541,0.625479691189014,0.0000580287239155783,0.0000170490147726367,0.000306557810073479
"Ophthalmic Acid",0.000730888764551435,0.0000518953919212993,0.0046997994903891,0.00803977641006579,0.000570849311134292,0.0516977943942801,0.00000312290306695955,0.000000222571507744838,0.000029441680445491
"N(e)-Acetyl-Lysine",0.03841050381213,0.00752059555338967,3.6626222523886,0.30728403049704,0.0601647644271174,29.3009780191088,0.000247754843134858,0.000045135319809482,0.0121885012075463
"N-methyltaurine",0.0152356659633047,0.00478362424209925,3.58993556334713,0.0457069978899142,0.0143508727262978,10.7698066900414,0.000026462349623055,0.00000502546401178923,0.00443592672885105
"N-acetyltaurine",0.00009692726752902,0.0000424897518904343,0.00492377313350271,0.00038770907011608,0.000169959007561737,0.0196950925340108,0.000000207865872460135,0.0000000602790984796263,0.00000764651425937549
"Methylmalonyl carnitine",0.00000761647272828051,0.0000045157554538372,0.00119039480396578,0.0000837812000110856,0.0000496733099922092,0.0130943428436236,0.0000000623936809682091,0.0000000169117504599654,0.00000641775124442775
"Methionine Sulfoxide",0.0183434357736212,0.00281940019644231,0.0669988685912828,0.0917171788681058,0.0140970009822116,0.334994342956414,0.0000534147381016369,0.00000494994488796157,0.000190111405172544
"Methionine",0.0108344803831801,0.00034358568272027,0.062270060902295,0.0541724019159007,0.00171792841360135,0.311350304511475,0.0000245580549386621,0.0000013118111341047,0.000129295219868938
"MESNA (Sodium 2-mercaptoethanesulfonate)",0.0961044553587116,0.00121774075354388,0.409614997429127,0.192208910717423,0.00243548150708777,0.819229994858255,0.000083542638633734,0.00000148740820816606,0.000881388950538694
"Melamine",0.00148288801787911,0.0000493444606526237,0.00882279992552453,0.00444866405363733,0.000148033381957871,0.0264683997765736,0.00000240990651704609,0.0000000609727968837493,0.0000144828818025437
"Malic Acid",0.0387462410697749,0.00996961327854926,0.139786534364496,0.1549849642791,0.039878453114197,0.559146137457985,0.0000758728480298463,0.0000145882145084846,0.000290381826517206
"Lysine",0.117383538270819,0.0477972787460345,0.272933899846078,0.704301229624916,0.286783672476207,1.63760339907647,0.000384426608782215,0.0000931421523306124,0.00105150664393914
"Lipoic Acid",0.000976982099139264,0.000708812290466524,0.0021582805362967,0.00781585679311411,0.00567049832373219,0.0172662442903736,0.00000334055506666334,0.000000755954774799786,0.000011380959816381
