,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,180821_Blk_SWBlk_1,180821_Blk_SWBlk_2,180821_Blk_SWBlk_3,180821_Poo_Day1and2Poo_Full1,180821_Poo_Day1and2Poo_Full2,180821_Poo_Day1and2Poo_Full3,180821_Poo_Day1and2Poo_Full4,180821_Poo_Day1and2Poo_Full5,180821_Poo_Day1and2Poo_Full6,180821_Poo_Day1and2Poo_Half1,180821_Poo_Day1and2Poo_Half2,180821_Poo_Day1and2Poo_Half3,180821_Poo_Day1and2Poo_Half4,180821_Poo_Day1and2Poo_Half5,180821_Poo_Day1and2Poo_Half6,180821_Poo_Day1Poo_DDAneg20,180821_Poo_Day1Poo_DDAneg35-2,180821_Poo_Day1Poo_DDAneg50,180821_Poo_MesoScopeQC_1,180821_Poo_MesoScopeQC_2,180821_Poo_MesoScopeQC_3,180821_Poo_MesoScopeQC_4,180821_Poo_MesoScopeQC_5,180821_Poo_MesoScopeQC_6,180821_Smp_MS4C1DCM_A,180821_Smp_MS4C1DCM_B,180821_Smp_MS4C1DCM_C,180821_Smp_MS4C115m_A,180821_Smp_MS4C115m_B,180821_Smp_MS4C115m_C,180821_Smp_MS4C1175m_A,180821_Smp_MS4C1175m_B,180821_Smp_MS4C1175m_C,180821_Smp_MS5C1DCM_A,180821_Smp_MS5C1DCM_B,180821_Smp_MS5C1DCM_C,180821_Smp_MS5C115m_A,180821_Smp_MS5C115m_B,180821_Smp_MS5C115m_C,180821_Smp_MS5C1175m_A,180821_Smp_MS5C1175m_B,180821_Smp_MS5C1175m_C,180821_Smp_MS6C3DCM_A,180821_Smp_MS6C3DCM_B,180821_Smp_MS6C3DCM_C,180821_Smp_MS6C315m_A,180821_Smp_MS6C315m_B,180821_Smp_MS6C315m_C,180821_Smp_MS6C3175m_A,180821_Smp_MS6C3175m_B,180821_Smp_MS6C3175m_C,180821_Smp_MS7C1DCM_A,180821_Smp_MS7C1DCM_B,180821_Smp_MS7C1DCM_C,180821_Smp_MS7C115m_A,180821_Smp_MS7C115m_B,180821_Smp_MS7C115m_C,180821_Smp_MS7C1175m_A,180821_Smp_MS7C1175m_B,180821_Smp_MS7C1175m_C,180821_Smp_MS8C1DCM_A,180821_Smp_MS8C1DCM_B,180821_Smp_MS8C1DCM_C,180821_Smp_MS8C115m_A,180821_Smp_MS8C115m_B,180821_Smp_MS8C115m_C,180821_Smp_MS8C1175m_A,180821_Smp_MS8C1175m_B,180821_Smp_MS8C1175m_C,180821_Smp_MS9C2DCM_A,180821_Smp_MS9C2DCM_B,180821_Smp_MS9C2DCM_C,180821_Smp_MS9C215m_A,180821_Smp_MS9C215m_B,180821_Smp_MS9C215m_C,180821_Smp_MS9C2175m_A,180821_Smp_MS9C2175m_B,180821_Smp_MS9C2175m_C,180821_Smp_MS10C2DCM_A,180821_Smp_MS10C2DCM_B,180821_Smp_MS10C2DCM_C,180821_Smp_MS10C215m_A,180821_Smp_MS10C215m_B,180821_Smp_MS10C215m_C,180821_Smp_MS10C2175m_A,180821_Smp_MS10C2175m_B,180821_Smp_MS10C2175m_C,180821_Smp_MS11C2DCM_A,180821_Smp_MS11C2DCM_B,180821_Smp_MS11C2DCM_C,180821_Smp_MS11C215m_A,180821_Smp_MS11C215m_B,180821_Smp_MS11C215m_C,180821_Smp_MS11C2175m_A,180821_Smp_MS11C2175m_B,180821_Smp_MS11C2175m_C,180821_Smp_MS12C1DCM_A,180821_Smp_MS12C1DCM_B,180821_Smp_MS12C1DCM_C,180821_Smp_MS12C115m_A,180821_Smp_MS12C115m_B,180821_Smp_MS12C115m_C,180821_Smp_MS12C1175m_A,180821_Smp_MS12C1175m_B,180821_Smp_MS12C1175m_C,180821_Smp_MS13C2DCM_A,180821_Smp_MS13C2DCM_B,180821_Smp_MS13C2DCM_C,180821_Smp_MS13C315m_A,180821_Smp_MS13C315m_B,180821_Smp_MS13C315m_C,180821_Smp_MS13C2175m_A,180821_Smp_MS13C2175m_B,180821_Smp_MS13C2175m_C,180821_Smp_MS14C2DCM_A,180821_Smp_MS14C2DCM_B,180821_Smp_MS14C2DCM_C,180821_Smp_MS14C215m_A,180821_Smp_MS14C215m_B,180821_Smp_MS14C215m_C,180821_Smp_MS14C2175m_A,180821_Smp_MS14C2175m_B,180821_Smp_MS14C2175m_C,180821_Std_4uMStdsMix1InH2O_1,180821_Std_4uMStdsMix1InH2O_2,180821_Std_4uMStdsMix1InH2O_3,180821_Std_4uMStdsMix1InMatrix_1,180821_Std_4uMStdsMix1InMatrix_2,180821_Std_4uMStdsMix1InMatrix_3,180821_Std_4uMStdsMix2InH2O_1,180821_Std_4uMStdsMix2InH2O_2,180821_Std_4uMStdsMix2InH2O_3,180821_Std_4uMStdsMix2InMatrix_1,180821_Std_4uMStdsMix2InMatrix_2,180821_Std_4uMStdsMix2InMatrix_3,180821_Std_H2OInMatrix_1,180821_Std_H2OInMatrix_2,180821_Std_H2OInMatrix_3
0,10.912,70.94482,Unknown,[M-H]-,adduct linked to 238_[M+Cl]-; found in higher mz's MsMs_1927; found in higher mz's MsMs_547; found in higher mz's MsMs_533; found in higher mz's MsMs_380; found in higher mz's MsMs_362,0.957,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,152724.59,180821_Poo_Day1Poo_DDAneg20,70.94495:12887899 71.9483:0 72.95166:11070418,52.33081:3061 53.37163:2844 58.95575:2584 70.94492:52567,144089024,302761984,308058592,121639832,144355248,240958240,325610560,126215056,345204416,76565080,90746800,151439184,227494512,210508512,229758752,273290528,357219008,360124384,178138128,153324464,250651312,325355968,302987616,350744832,206057168,145689104,308989568,131449312,291055264,369492608,153231808,205555424,325146816,318364544,116770608,112400896,335811680,221252032,285399168,143943696,256837264,355999488,237096624,241193376,357108672,205232224,280968192,274661824,365476416,287943520,106473920,310036896,263543664,385839488,302155680,111595848,305528864,262415344,243347232,183238352,354621888,144375568,142407264,281614976,245503360,305794464,316577152,296069248,143021680,306471328,240506800,302746368,306669472,365072480,212466704,315777856,204062544,145781696,289950272,307077056,286793376,184774736,351783040,290234240,345524416,292324320,206867440,365150304,139227008,313028448,192950544,135709280,205634112,332323616,208670224,266720352,124023032,302360768,340346208,316993408,304510816,334317408,137215888,286702304,260361776,224454992,248406064,283710976,363131200,135870272,328452000,132660280,178514800,277703296,150228304,267384336,345461440,346615488,293800096,272865088,278245312,278992224,134483888,0,0,0,131538672,381612864,404334144,0,0,0,131981328,394607808,421741280,123080408,386541472,394140000
1,14.228,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_1448; similar chromatogram in higher mz_919,0.08,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,12.17,180821_Std_4uMStdsMix1InH2O_1,71.0126:468500 72.01595:0 73.01931:536548,,233692,130165,325191,938319,1077007,61026,451476,255713,0,763551,828392,213418,215561,70777,0,111431,71643,76309,930941,1133177,51807,62275,291124,187477,535189,998650,147985,595198,252920,83801,1353596,134369,52837,192158,1306590,75932,249502,84501,1461740,284661,431379,85243,172898,67589,74391,252082,266889,67113,73036,269635,270547,163467,364346,178608,159654,544789,469536,182884,72571,83370,0,75878,402083,1077529,125602,73671,69704,96972,117907,0,56584,46824,238595,87425,594239,86021,49289,89268,358984,110606,168841,253084,175930,206384,140201,688310,70385,229576,616761,156356,78230,630542,67067,84126,66598,410666,1138512,0,88201,656204,183360,81296,67587,78311,94786,80666,941321,56256,141236,890941,98019,225383,155144,145343,263631,159816,650613,119554,50569,132896,135788,181871,727622,10780993,3468742,163026,8419005,4196415,2975066,3778586,1882281,2181986,3693348,1611309,2298822,1584004,82048,225674
2,9.425,71.0126,Unknown,[M-H]-,,0.123,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,15.46,180821_Std_4uMStdsMix2InH2O_3,71.0126:1095070 72.01595:0 73.01931:243202,,238000,120956,58019,1122826,853740,220618,104634,115168,21338,622357,2051308,600964,177522,50480,22064,278378,11232,14911,1786287,698946,3578412,4837076,21919,53708,122190,2408522,590863,852749,55112,41654,1154531,269343,905312,1393045,1448600,37707,36725,60741,2471208,336414,738973,20483,90763,67712,54268,436113,188656,1199888,40081,72127,665562,403530,315136,27098,727124,230985,146489,389106,50033,214849,18831,808418,208568,118922,74112,22428,50808,80327,90376,28274,66587,24034,302450,36706,214775,1572122,77054,84123,191761,21024,270182,829131,55850,199712,39530,242102,103328,52012,510442,580289,199525,3280477,187297,509556,437938,208617,505474,28909,36554,160128,270981,35100,120971,116605,175621,50033,307175,291201,35391,979152,71967,278410,144822,579510,4035849,85531,260121,25704,88567,84932,333939,134015,288597,1171651,96836,78096,1727514,24260,21209,13304201,11975344,17392890,11500986,11318628,6132886,2870518,43476,21407
3,11.829,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_292,0.819,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,21.85,180821_Poo_Day1Poo_DDAneg20,71.01266:224605 72.01601:0 73.01937:183191,60.85709:1464 63.64379:1547 65.62994:1702 69.79217:1661 71.01274:21611,420936,1532332,2548373,4847398,152154,2523683,2483230,3377584,3913238,4360660,1563357,1095875,1039149,2031852,2211911,2458716,2344100,2262792,2241960,2339377,1570646,1820492,2979258,3044297,4243346,1528700,3375570,561465,8135151,4546474,4795586,2804397,3344958,3599628,4264812,8738700,4052184,2353958,4732459,4534938,4072244,7299862,2975791,2369301,1574786,3465558,4060482,4504370,7173278,4397528,542296,2890580,4163083,1630750,4766509,956152,4140677,4433424,2497203,2582049,7409647,5612184,2257950,3649460,2431624,7511236,5612058,4319557,6274112,5818338,2542730,4348636,2394636,5247641,3690562,8135070,1921669,703447,5460468,8200231,5931136,143623,4923204,3886426,3434155,4554532,2992038,3211549,232203,5400769,2806110,802135,2018838,4204354,2487556,3863360,3842252,3438301,4640140,5971551,4144313,2469322,105194,6333702,4250188,1726821,4178684,5142784,3601261,2587729,3028929,588470,3779848,3833991,1190372,5111920,6995273,5630486,2719552,2766671,2172948,5044879,4346223,1689934,95311,3802620,7050912,3353489,5324336,1575498,113766,1734034,6091961,4962030,6548126,5565870,2484988,4739818
4,5.18,71.01261,Unknown,[M-H]-,,0.464,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,95.77,180821_Poo_Day1Poo_DDAneg50,71.01263:1310392 72.01598:0 73.01934:246830,54.49172:1493 61.17535:1826 71.01263:110524,1197695,393698,67569,18770226,16835520,17145906,26083054,28334536,29560692,619935,10883168,11671841,14036019,15496623,86099,14385996,12998322,22810798,20586422,15067243,12389936,20704396,32547078,35486928,29648934,30664554,25024296,24103526,76719512,1298142,1343698,251608,164211,16506511,1101012,390457,33709928,52991860,45566248,2390742,2263180,1916708,11195833,13903499,33935704,31287616,65152116,38038812,173536,109762,1123337,23469964,4740743,39057744,53694732,37211456,69767304,2463775,539035,335500,148816,22044418,23495086,41202856,38691104,74072504,154469,112341,66950,35112512,21071440,44614200,53349020,77658984,22459258,71765,541686,172819,22835422,35848236,41912540,35268268,383427,38147860,199655,233720,724266,19457974,13659403,52158584,52092144,46786568,31747628,72801,62470,1474388,36131912,58323780,76544528,50524924,64997240,57907960,1186383,155249,1116963,23960754,27765928,25478778,40677168,24780772,49650244,2762634,249642,1614956,21109094,21419690,58931420,853541,65223248,46042384,768115,663233,1343345,1341258,68706,63810,23150946,29359652,41744560,1271414,122970,15506528,18859984,32894690,48785608,22535738,30790498,764805
