,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,180821_Blk_SWBlk_1,180821_Blk_SWBlk_2,180821_Blk_SWBlk_3,180821_Poo_Day1and2Poo_Full1,180821_Poo_Day1and2Poo_Full2,180821_Poo_Day1and2Poo_Full3,180821_Poo_Day1and2Poo_Full4,180821_Poo_Day1and2Poo_Full5,180821_Poo_Day1and2Poo_Full6,180821_Poo_Day1and2Poo_Half1,180821_Poo_Day1and2Poo_Half2,180821_Poo_Day1and2Poo_Half3,180821_Poo_Day1and2Poo_Half4,180821_Poo_Day1and2Poo_Half5,180821_Poo_Day1and2Poo_Half6,180821_Poo_Day1Poo_DDAneg20,180821_Poo_Day1Poo_DDAneg35-2,180821_Poo_Day1Poo_DDAneg50,180821_Poo_MesoScopeQC_1,180821_Poo_MesoScopeQC_2,180821_Poo_MesoScopeQC_3,180821_Poo_MesoScopeQC_4,180821_Poo_MesoScopeQC_5,180821_Poo_MesoScopeQC_6,180821_Smp_MS4C1DCM_A,180821_Smp_MS4C1DCM_B,180821_Smp_MS4C1DCM_C,180821_Smp_MS4C115m_A,180821_Smp_MS4C115m_B,180821_Smp_MS4C115m_C,180821_Smp_MS4C1175m_A,180821_Smp_MS4C1175m_B,180821_Smp_MS4C1175m_C,180821_Smp_MS5C1DCM_A,180821_Smp_MS5C1DCM_B,180821_Smp_MS5C1DCM_C,180821_Smp_MS5C115m_A,180821_Smp_MS5C115m_B,180821_Smp_MS5C115m_C,180821_Smp_MS5C1175m_A,180821_Smp_MS5C1175m_B,180821_Smp_MS5C1175m_C,180821_Smp_MS6C3DCM_A,180821_Smp_MS6C3DCM_B,180821_Smp_MS6C3DCM_C,180821_Smp_MS6C315m_A,180821_Smp_MS6C315m_B,180821_Smp_MS6C315m_C,180821_Smp_MS6C3175m_A,180821_Smp_MS6C3175m_B,180821_Smp_MS6C3175m_C,180821_Smp_MS7C1DCM_A,180821_Smp_MS7C1DCM_B,180821_Smp_MS7C1DCM_C,180821_Smp_MS7C115m_A,180821_Smp_MS7C115m_B,180821_Smp_MS7C115m_C,180821_Smp_MS7C1175m_A,180821_Smp_MS7C1175m_B,180821_Smp_MS7C1175m_C,180821_Smp_MS8C1DCM_A,180821_Smp_MS8C1DCM_B,180821_Smp_MS8C1DCM_C,180821_Smp_MS8C115m_A,180821_Smp_MS8C115m_B,180821_Smp_MS8C115m_C,180821_Smp_MS8C1175m_A,180821_Smp_MS8C1175m_B,180821_Smp_MS8C1175m_C,180821_Smp_MS9C2DCM_A,180821_Smp_MS9C2DCM_B,180821_Smp_MS9C2DCM_C,180821_Smp_MS9C215m_A,180821_Smp_MS9C215m_B,180821_Smp_MS9C215m_C,180821_Smp_MS9C2175m_A,180821_Smp_MS9C2175m_B,180821_Smp_MS9C2175m_C,180821_Smp_MS10C2DCM_A,180821_Smp_MS10C2DCM_B,180821_Smp_MS10C2DCM_C,180821_Smp_MS10C215m_A,180821_Smp_MS10C215m_B,180821_Smp_MS10C215m_C,180821_Smp_MS10C2175m_A,180821_Smp_MS10C2175m_B,180821_Smp_MS10C2175m_C,180821_Smp_MS11C2DCM_A,180821_Smp_MS11C2DCM_B,180821_Smp_MS11C2DCM_C,180821_Smp_MS11C215m_A,180821_Smp_MS11C215m_B,180821_Smp_MS11C215m_C,180821_Smp_MS11C2175m_A,180821_Smp_MS11C2175m_B,180821_Smp_MS11C2175m_C,180821_Smp_MS12C1DCM_A,180821_Smp_MS12C1DCM_B,180821_Smp_MS12C1DCM_C,180821_Smp_MS12C115m_A,180821_Smp_MS12C115m_B,180821_Smp_MS12C115m_C,180821_Smp_MS12C1175m_A,180821_Smp_MS12C1175m_B,180821_Smp_MS12C1175m_C,180821_Smp_MS13C2DCM_A,180821_Smp_MS13C2DCM_B,180821_Smp_MS13C2DCM_C,180821_Smp_MS13C315m_A,180821_Smp_MS13C315m_B,180821_Smp_MS13C315m_C,180821_Smp_MS13C2175m_A,180821_Smp_MS13C2175m_B,180821_Smp_MS13C2175m_C,180821_Smp_MS14C2DCM_A,180821_Smp_MS14C2DCM_B,180821_Smp_MS14C2DCM_C,180821_Smp_MS14C215m_A,180821_Smp_MS14C215m_B,180821_Smp_MS14C215m_C,180821_Smp_MS14C2175m_A,180821_Smp_MS14C2175m_B,180821_Smp_MS14C2175m_C,180821_Std_4uMStdsMix1InH2O_1,180821_Std_4uMStdsMix1InH2O_2,180821_Std_4uMStdsMix1InH2O_3,180821_Std_4uMStdsMix1InMatrix_1,180821_Std_4uMStdsMix1InMatrix_2,180821_Std_4uMStdsMix1InMatrix_3,180821_Std_4uMStdsMix2InH2O_1,180821_Std_4uMStdsMix2InH2O_2,180821_Std_4uMStdsMix2InH2O_3,180821_Std_4uMStdsMix2InMatrix_1,180821_Std_4uMStdsMix2InMatrix_2,180821_Std_4uMStdsMix2InMatrix_3,180821_Std_H2OInMatrix_1,180821_Std_H2OInMatrix_2,180821_Std_H2OInMatrix_3
0,10.912,70.94482,Unknown,[M-H]-,adduct linked to 238_[M+Cl]-; found in higher mz's MsMs_1927; found in higher mz's MsMs_547; found in higher mz's MsMs_533; found in higher mz's MsMs_380; found in higher mz's MsMs_362,0.957,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,152724.59,180821_Poo_Day1Poo_DDAneg20,70.94495:12887899 71.9483:0 72.95166:11070418,52.33081:3061 53.37163:2844 58.95575:2584 70.94492:52567,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945,70.945
1,14.228,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_1448; similar chromatogram in higher mz_919,0.08,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,12.17,180821_Std_4uMStdsMix1InH2O_1,71.0126:468500 72.01595:0 73.01931:536548,,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013
2,9.425,71.0126,Unknown,[M-H]-,,0.123,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,15.46,180821_Std_4uMStdsMix2InH2O_3,71.0126:1095070 72.01595:0 73.01931:243202,,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013
3,11.829,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_292,0.819,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,21.85,180821_Poo_Day1Poo_DDAneg20,71.01266:224605 72.01601:0 73.01937:183191,60.85709:1464 63.64379:1547 65.62994:1702 69.79217:1661 71.01274:21611,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013
4,5.18,71.01261,Unknown,[M-H]-,,0.464,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,95.77,180821_Poo_Day1Poo_DDAneg50,71.01263:1310392 72.01598:0 73.01934:246830,54.49172:1493 61.17535:1826 71.01263:110524,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013,71.013
