,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,180821_Blk_SWBlk_1,180821_Blk_SWBlk_2,180821_Blk_SWBlk_3,180821_Poo_Day1and2Poo_Full1,180821_Poo_Day1and2Poo_Full2,180821_Poo_Day1and2Poo_Full3,180821_Poo_Day1and2Poo_Full4,180821_Poo_Day1and2Poo_Full5,180821_Poo_Day1and2Poo_Full6,180821_Poo_Day1and2Poo_Half1,180821_Poo_Day1and2Poo_Half2,180821_Poo_Day1and2Poo_Half3,180821_Poo_Day1and2Poo_Half4,180821_Poo_Day1and2Poo_Half5,180821_Poo_Day1and2Poo_Half6,180821_Poo_Day1Poo_DDAneg20,180821_Poo_Day1Poo_DDAneg35-2,180821_Poo_Day1Poo_DDAneg50,180821_Poo_MesoScopeQC_1,180821_Poo_MesoScopeQC_2,180821_Poo_MesoScopeQC_3,180821_Poo_MesoScopeQC_4,180821_Poo_MesoScopeQC_5,180821_Poo_MesoScopeQC_6,180821_Smp_MS4C1DCM_A,180821_Smp_MS4C1DCM_B,180821_Smp_MS4C1DCM_C,180821_Smp_MS4C115m_A,180821_Smp_MS4C115m_B,180821_Smp_MS4C115m_C,180821_Smp_MS4C1175m_A,180821_Smp_MS4C1175m_B,180821_Smp_MS4C1175m_C,180821_Smp_MS5C1DCM_A,180821_Smp_MS5C1DCM_B,180821_Smp_MS5C1DCM_C,180821_Smp_MS5C115m_A,180821_Smp_MS5C115m_B,180821_Smp_MS5C115m_C,180821_Smp_MS5C1175m_A,180821_Smp_MS5C1175m_B,180821_Smp_MS5C1175m_C,180821_Smp_MS6C3DCM_A,180821_Smp_MS6C3DCM_B,180821_Smp_MS6C3DCM_C,180821_Smp_MS6C315m_A,180821_Smp_MS6C315m_B,180821_Smp_MS6C315m_C,180821_Smp_MS6C3175m_A,180821_Smp_MS6C3175m_B,180821_Smp_MS6C3175m_C,180821_Smp_MS7C1DCM_A,180821_Smp_MS7C1DCM_B,180821_Smp_MS7C1DCM_C,180821_Smp_MS7C115m_A,180821_Smp_MS7C115m_B,180821_Smp_MS7C115m_C,180821_Smp_MS7C1175m_A,180821_Smp_MS7C1175m_B,180821_Smp_MS7C1175m_C,180821_Smp_MS8C1DCM_A,180821_Smp_MS8C1DCM_B,180821_Smp_MS8C1DCM_C,180821_Smp_MS8C115m_A,180821_Smp_MS8C115m_B,180821_Smp_MS8C115m_C,180821_Smp_MS8C1175m_A,180821_Smp_MS8C1175m_B,180821_Smp_MS8C1175m_C,180821_Smp_MS9C2DCM_A,180821_Smp_MS9C2DCM_B,180821_Smp_MS9C2DCM_C,180821_Smp_MS9C215m_A,180821_Smp_MS9C215m_B,180821_Smp_MS9C215m_C,180821_Smp_MS9C2175m_A,180821_Smp_MS9C2175m_B,180821_Smp_MS9C2175m_C,180821_Smp_MS10C2DCM_A,180821_Smp_MS10C2DCM_B,180821_Smp_MS10C2DCM_C,180821_Smp_MS10C215m_A,180821_Smp_MS10C215m_B,180821_Smp_MS10C215m_C,180821_Smp_MS10C2175m_A,180821_Smp_MS10C2175m_B,180821_Smp_MS10C2175m_C,180821_Smp_MS11C2DCM_A,180821_Smp_MS11C2DCM_B,180821_Smp_MS11C2DCM_C,180821_Smp_MS11C215m_A,180821_Smp_MS11C215m_B,180821_Smp_MS11C215m_C,180821_Smp_MS11C2175m_A,180821_Smp_MS11C2175m_B,180821_Smp_MS11C2175m_C,180821_Smp_MS12C1DCM_A,180821_Smp_MS12C1DCM_B,180821_Smp_MS12C1DCM_C,180821_Smp_MS12C115m_A,180821_Smp_MS12C115m_B,180821_Smp_MS12C115m_C,180821_Smp_MS12C1175m_A,180821_Smp_MS12C1175m_B,180821_Smp_MS12C1175m_C,180821_Smp_MS13C2DCM_A,180821_Smp_MS13C2DCM_B,180821_Smp_MS13C2DCM_C,180821_Smp_MS13C315m_A,180821_Smp_MS13C315m_B,180821_Smp_MS13C315m_C,180821_Smp_MS13C2175m_A,180821_Smp_MS13C2175m_B,180821_Smp_MS13C2175m_C,180821_Smp_MS14C2DCM_A,180821_Smp_MS14C2DCM_B,180821_Smp_MS14C2DCM_C,180821_Smp_MS14C215m_A,180821_Smp_MS14C215m_B,180821_Smp_MS14C215m_C,180821_Smp_MS14C2175m_A,180821_Smp_MS14C2175m_B,180821_Smp_MS14C2175m_C,180821_Std_4uMStdsMix1InH2O_1,180821_Std_4uMStdsMix1InH2O_2,180821_Std_4uMStdsMix1InH2O_3,180821_Std_4uMStdsMix1InMatrix_1,180821_Std_4uMStdsMix1InMatrix_2,180821_Std_4uMStdsMix1InMatrix_3,180821_Std_4uMStdsMix2InH2O_1,180821_Std_4uMStdsMix2InH2O_2,180821_Std_4uMStdsMix2InH2O_3,180821_Std_4uMStdsMix2InMatrix_1,180821_Std_4uMStdsMix2InMatrix_2,180821_Std_4uMStdsMix2InMatrix_3,180821_Std_H2OInMatrix_1,180821_Std_H2OInMatrix_2,180821_Std_H2OInMatrix_3
0,10.912,70.94482,Unknown,[M-H]-,adduct linked to 238_[M+Cl]-; found in higher mz's MsMs_1927; found in higher mz's MsMs_547; found in higher mz's MsMs_533; found in higher mz's MsMs_380; found in higher mz's MsMs_362,0.957,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,152724.59,180821_Poo_Day1Poo_DDAneg20,70.94495:12887899 71.9483:0 72.95166:11070418,52.33081:3061 53.37163:2844 58.95575:2584 70.94492:52567,10.963,10.95,10.913,10.902,10.96,10.949,10.938,10.944,10.929,10.772,10.839,10.814,10.8,10.708,10.701,10.958,10.964,10.962,10.968,10.958,10.95,10.963,10.937,10.947,10.954,10.971,10.936,10.918,10.923,10.866,10.951,10.95,10.846,10.864,10.933,10.847,10.87,10.968,10.917,10.954,10.862,10.86,10.959,10.976,10.934,10.944,10.938,10.907,10.873,10.913,10.943,10.947,10.933,10.933,10.942,10.958,10.948,10.925,10.967,10.93,10.878,10.843,10.973,10.923,10.969,10.903,10.909,10.898,10.89,10.894,10.968,10.878,10.952,10.865,10.958,10.9,10.937,10.972,10.906,10.745,10.886,10.969,10.883,10.935,10.868,10.892,10.961,10.919,10.972,10.901,10.924,10.96,10.939,10.894,10.944,10.894,10.951,10.815,10.886,10.916,10.883,10.887,10.965,10.909,10.868,10.946,10.875,10.915,10.907,10.965,10.84,10.962,10.934,10.924,10.953,10.821,10.946,10.862,10.932,10.909,10.927,10.864,10.948,10.912,10.912,10.912,10.857,10.894,10.919,10.912,10.912,10.912,10.882,10.907,10.934,10.874,10.879,10.912
1,14.228,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_1448; similar chromatogram in higher mz_919,0.08,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,12.17,180821_Std_4uMStdsMix1InH2O_1,71.0126:468500 72.01595:0 73.01931:536548,,14.288,14.203,14.126,14.283,14.268,14.244,13.985,13.802,14.228,14.156,14.197,13.992,14.111,14.299,14.228,14.25,14.821,14.366,14.108,14.329,13.955,14.231,14.217,14.356,14.243,14.229,14.265,14.343,14.245,13.903,14.189,13.658,14.197,14.049,14.425,13.928,13.75,14.056,14.229,14.228,14.268,14.078,14.128,14.045,13.483,14.154,14.434,14.297,14.869,14.273,14.279,14.302,14.355,14.39,14.355,14.164,13.281,14.235,14.561,14.292,14.228,13.872,14.186,17.791,13.623,14.192,14.12,14.203,14.735,14.228,14.455,13.813,14.185,13.945,14.3,13.632,14.255,14.224,14.219,14.164,14.182,14.088,13.924,14.211,13.747,14.15,14.13,13.832,14.168,14.165,14.244,14.293,14.01,14.185,14.104,14.27,14.11,14.228,13.724,15.866,13.958,14.362,14.244,14.317,14.491,14.186,14.211,14.356,14.509,14.275,14.211,14.195,14.3,14.225,14.212,13.698,14.228,14.145,14.318,14.275,14.293,14.259,14.131,13.53,13.345,13.942,13.697,13.55,13.345,14.286,14.056,13.717,14.383,14.291,14.1,14.166,14.199,14.769
2,9.425,71.0126,Unknown,[M-H]-,,0.123,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,15.46,180821_Std_4uMStdsMix2InH2O_3,71.0126:1095070 72.01595:0 73.01931:243202,,9.454,9.394,9.335,9.336,9.474,9.467,9.486,9.323,9.384,9.435,9.366,11.04,9.408,9.41,9.653,9.403,9.51,9.469,9.42,9.491,4.76,4.659,9.438,9.425,9.38,9.429,11.092,9.531,9.45,9.484,9.432,9.264,11.017,11.025,9.376,9.579,9.542,9.41,9.361,9.52,9.295,9.489,9.404,9.377,9.256,11.056,9.298,9.377,9.469,9.422,9.306,9.495,9.46,9.746,11.085,9.412,9.38,9.377,10.157,9.418,9.578,10.968,9.382,9.443,9.484,9.426,9.416,9.465,9.382,9.533,9.39,9.353,9.363,9.263,9.506,11.107,9.337,9.402,9.365,9.232,9.337,9.401,9.301,9.488,9.472,9.5,9.449,9.584,9.394,9.441,9.505,9.326,9.547,10.844,9.57,9.394,9.411,9.562,9.38,9.383,9.41,9.442,9.381,9.337,9.501,9.64,9.443,9.514,9.572,9.419,9.778,9.46,9.266,9.485,9.561,9.353,9.533,9.312,9.45,9.461,9.325,9.45,9.484,9.42,9.887,10.011,9.401,9.641,9.4,8.606,8.577,8.557,8.643,8.622,8.565,9.483,9.57,9.548
3,11.829,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_292,0.819,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,21.85,180821_Poo_Day1Poo_DDAneg20,71.01266:224605 72.01601:0 73.01937:183191,60.85709:1464 63.64379:1547 65.62994:1702 69.79217:1661 71.01274:21611,11.769,11.987,11.807,11.879,11.688,12.091,12.04,11.999,11.906,11.249,11.737,11.567,11.568,11.42,11.308,12.104,12.055,12.131,11.906,12.128,12.087,12.192,12.091,12.011,12.034,11.702,12.014,11.861,11.846,11.535,12.181,11.91,11.631,11.659,12.074,11.557,11.69,12.058,11.887,12.042,11.651,11.464,12.197,12.195,11.885,11.898,11.874,11.742,11.586,11.831,11.749,12.052,11.796,11.924,12.052,11.952,12.011,11.865,12.184,11.783,11.566,11.588,11.979,11.883,12.231,11.758,11.837,11.745,11.663,11.841,12.161,11.638,12.039,11.466,12.03,11.783,11.893,11.6,11.754,11.239,11.688,11.793,11.56,11.87,11.482,11.745,11.974,11.831,11.814,11.732,11.812,11.774,11.893,11.735,11.931,11.72,11.864,11.593,11.737,12.008,11.592,11.747,11.78,11.77,11.719,11.891,11.615,11.807,11.818,11.94,11.609,11.674,11.819,11.77,11.658,11.502,12.241,11.491,11.976,11.772,11.85,11.67,11.963,11.79,11.316,13.079,11.702,12.049,11.941,11.7,12.085,10.49,11.879,12.112,12.006,11.797,11.934,11.835
4,5.18,71.01261,Unknown,[M-H]-,,0.464,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,95.77,180821_Poo_Day1Poo_DDAneg50,71.01263:1310392 72.01598:0 73.01934:246830,54.49172:1493 61.17535:1826 71.01263:110524,5.196,5.305,5.242,5.85,5.828,5.653,5.076,4.487,4.271,4.987,5.817,5.284,5.036,4.46,5.246,5.279,5.053,5.029,5.824,5.824,5.652,5.218,4.456,4.27,5.695,5.851,5.07,5.874,4.896,5.18,4.969,5.015,5.134,4.683,5.125,5.476,5.039,5.782,5.187,4.97,5.167,4.524,5.786,5.807,4.678,5.676,5.172,5.141,5.176,5.262,5.226,5.138,4.695,5.051,5.126,5.92,5.179,5.163,5.252,5.204,5.043,4.29,5.928,5.167,5.78,4.703,5.167,5.324,5.082,4.285,5.787,4.267,5.174,4.031,5.719,5.117,5.157,5.165,4.495,4.031,4.5,5.943,5.173,5.071,5.479,5.22,5.33,5.053,5.92,4.892,5.701,5.819,5.679,5.066,5.252,5.124,5.829,4.606,4.651,4.932,4.279,5.102,5.139,5.345,5.13,5.672,5.153,5.093,5.068,5.907,5.06,5.211,4.947,5.257,5.846,4.271,5.185,5.286,5.188,5.114,5.144,5.29,5.102,5.084,5.069,5.036,5.73,4.709,4.019,5.058,5.085,5.151,5.808,4.732,4.052,5.776,4.66,5.061
