,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,180821_Blk_SWBlk_1,180821_Blk_SWBlk_2,180821_Blk_SWBlk_3,180821_Poo_Day1and2Poo_Full1,180821_Poo_Day1and2Poo_Full2,180821_Poo_Day1and2Poo_Full3,180821_Poo_Day1and2Poo_Full4,180821_Poo_Day1and2Poo_Full5,180821_Poo_Day1and2Poo_Full6,180821_Poo_Day1and2Poo_Half1,180821_Poo_Day1and2Poo_Half2,180821_Poo_Day1and2Poo_Half3,180821_Poo_Day1and2Poo_Half4,180821_Poo_Day1and2Poo_Half5,180821_Poo_Day1and2Poo_Half6,180821_Poo_Day1Poo_DDAneg20,180821_Poo_Day1Poo_DDAneg35-2,180821_Poo_Day1Poo_DDAneg50,180821_Poo_MesoScopeQC_1,180821_Poo_MesoScopeQC_2,180821_Poo_MesoScopeQC_3,180821_Poo_MesoScopeQC_4,180821_Poo_MesoScopeQC_5,180821_Poo_MesoScopeQC_6,180821_Smp_MS4C1DCM_A,180821_Smp_MS4C1DCM_B,180821_Smp_MS4C1DCM_C,180821_Smp_MS4C115m_A,180821_Smp_MS4C115m_B,180821_Smp_MS4C115m_C,180821_Smp_MS4C1175m_A,180821_Smp_MS4C1175m_B,180821_Smp_MS4C1175m_C,180821_Smp_MS5C1DCM_A,180821_Smp_MS5C1DCM_B,180821_Smp_MS5C1DCM_C,180821_Smp_MS5C115m_A,180821_Smp_MS5C115m_B,180821_Smp_MS5C115m_C,180821_Smp_MS5C1175m_A,180821_Smp_MS5C1175m_B,180821_Smp_MS5C1175m_C,180821_Smp_MS6C3DCM_A,180821_Smp_MS6C3DCM_B,180821_Smp_MS6C3DCM_C,180821_Smp_MS6C315m_A,180821_Smp_MS6C315m_B,180821_Smp_MS6C315m_C,180821_Smp_MS6C3175m_A,180821_Smp_MS6C3175m_B,180821_Smp_MS6C3175m_C,180821_Smp_MS7C1DCM_A,180821_Smp_MS7C1DCM_B,180821_Smp_MS7C1DCM_C,180821_Smp_MS7C115m_A,180821_Smp_MS7C115m_B,180821_Smp_MS7C115m_C,180821_Smp_MS7C1175m_A,180821_Smp_MS7C1175m_B,180821_Smp_MS7C1175m_C,180821_Smp_MS8C1DCM_A,180821_Smp_MS8C1DCM_B,180821_Smp_MS8C1DCM_C,180821_Smp_MS8C115m_A,180821_Smp_MS8C115m_B,180821_Smp_MS8C115m_C,180821_Smp_MS8C1175m_A,180821_Smp_MS8C1175m_B,180821_Smp_MS8C1175m_C,180821_Smp_MS9C2DCM_A,180821_Smp_MS9C2DCM_B,180821_Smp_MS9C2DCM_C,180821_Smp_MS9C215m_A,180821_Smp_MS9C215m_B,180821_Smp_MS9C215m_C,180821_Smp_MS9C2175m_A,180821_Smp_MS9C2175m_B,180821_Smp_MS9C2175m_C,180821_Smp_MS10C2DCM_A,180821_Smp_MS10C2DCM_B,180821_Smp_MS10C2DCM_C,180821_Smp_MS10C215m_A,180821_Smp_MS10C215m_B,180821_Smp_MS10C215m_C,180821_Smp_MS10C2175m_A,180821_Smp_MS10C2175m_B,180821_Smp_MS10C2175m_C,180821_Smp_MS11C2DCM_A,180821_Smp_MS11C2DCM_B,180821_Smp_MS11C2DCM_C,180821_Smp_MS11C215m_A,180821_Smp_MS11C215m_B,180821_Smp_MS11C215m_C,180821_Smp_MS11C2175m_A,180821_Smp_MS11C2175m_B,180821_Smp_MS11C2175m_C,180821_Smp_MS12C1DCM_A,180821_Smp_MS12C1DCM_B,180821_Smp_MS12C1DCM_C,180821_Smp_MS12C115m_A,180821_Smp_MS12C115m_B,180821_Smp_MS12C115m_C,180821_Smp_MS12C1175m_A,180821_Smp_MS12C1175m_B,180821_Smp_MS12C1175m_C,180821_Smp_MS13C2DCM_A,180821_Smp_MS13C2DCM_B,180821_Smp_MS13C2DCM_C,180821_Smp_MS13C315m_A,180821_Smp_MS13C315m_B,180821_Smp_MS13C315m_C,180821_Smp_MS13C2175m_A,180821_Smp_MS13C2175m_B,180821_Smp_MS13C2175m_C,180821_Smp_MS14C2DCM_A,180821_Smp_MS14C2DCM_B,180821_Smp_MS14C2DCM_C,180821_Smp_MS14C215m_A,180821_Smp_MS14C215m_B,180821_Smp_MS14C215m_C,180821_Smp_MS14C2175m_A,180821_Smp_MS14C2175m_B,180821_Smp_MS14C2175m_C,180821_Std_4uMStdsMix1InH2O_1,180821_Std_4uMStdsMix1InH2O_2,180821_Std_4uMStdsMix1InH2O_3,180821_Std_4uMStdsMix1InMatrix_1,180821_Std_4uMStdsMix1InMatrix_2,180821_Std_4uMStdsMix1InMatrix_3,180821_Std_4uMStdsMix2InH2O_1,180821_Std_4uMStdsMix2InH2O_2,180821_Std_4uMStdsMix2InH2O_3,180821_Std_4uMStdsMix2InMatrix_1,180821_Std_4uMStdsMix2InMatrix_2,180821_Std_4uMStdsMix2InMatrix_3,180821_Std_H2OInMatrix_1,180821_Std_H2OInMatrix_2,180821_Std_H2OInMatrix_3
0,10.912,70.94482,Unknown,[M-H]-,adduct linked to 238_[M+Cl]-; found in higher mz's MsMs_1927; found in higher mz's MsMs_547; found in higher mz's MsMs_533; found in higher mz's MsMs_380; found in higher mz's MsMs_362,0.957,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,152724.59,180821_Poo_Day1Poo_DDAneg20,70.94495:12887899 71.9483:0 72.95166:11070418,52.33081:3061 53.37163:2844 58.95575:2584 70.94492:52567,121604.4,214645.1,129015.3,108003.4,128794.9,191232.9,221941.3,127188,141326.4,52239.89,60339.19,96352.65,126086.9,93284.54,93355.23,257437.8,281432.5,277749.4,148972.5,133229.1,206288.4,236694.6,125294.8,145768.4,161144.2,130640.7,209544,117534.2,126898.2,135571,134206.2,148855.2,150794.2,145431.1,104833.9,108973.1,154053.3,186183.2,197129.7,120168.2,157153.6,127398.2,201810.1,205606.3,186613.9,152478.2,184246.2,180384.9,139065.9,119015.5,99447.66,213514.3,179108,203187.5,207102.8,105397.5,219466.9,175584,208821.5,131097.5,128467.5,114111.7,137696.4,179669.6,209152.4,123246.3,131746.1,125831.9,116413.7,120853.2,204942.4,123687.6,207639.5,130571.8,173177.3,127168.9,154887.7,142300.8,116767.4,112386.5,119325,177239.7,122809.1,185440.5,120702.3,120794.3,162813.2,179230.7,134500.8,127775.8,142377.4,116090.2,153514.4,161379.5,172042.3,164659.2,104057.4,136090.8,160149.6,141168.4,119304.5,160512,123149.3,120315.2,150766.3,173254.3,153975.7,171291.5,183653.2,121992.7,154492.8,114199.8,137629.5,188895.4,142451.1,102298,244930.9,127326.6,202723.7,165142.5,177711.7,113598.1,113699.3,0,0,0,113430.8,220931.1,148286.5,0,0,0,109870.4,224449.7,165364.5,105334.6,230852.2,148194
1,14.228,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_1448; similar chromatogram in higher mz_919,0.08,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,12.17,180821_Std_4uMStdsMix1InH2O_1,71.0126:468500 72.01595:0 73.01931:536548,,0.1215157,0.4426077,1.861345,1.558185,1.618676,0.1340134,1.717056,1.62107,0,0.5567279,1.162881,1.032935,1.45307,0.6099761,0,0.7838147,1.146872,0.9465874,0.5844004,4.806247,0.5868304,0.7143835,1.609383,1.634775,1.793585,1.090747,1.130236,0.5999483,1.488811,0.7167779,1.839265,0.6612579,0.6080228,1.300266,3.27707,0.6466807,1.510828,0.7261657,1.065782,0.3594875,2.117593,0.7228838,1.196339,0.5790162,1.319869,1.473162,2.207245,0.4568642,0.6196128,1.435708,0.2194686,0.6156066,1.994741,1.545018,0.6353937,1.818052,3.306553,0.5652777,0.6260339,0.6604105,0,0.6451423,0.7178972,4.05929,0.9246796,0.6249087,0.6035157,0.8313309,1.009717,0,0.4882145,0.5206475,1.128397,0.7397196,2.288614,0.7228244,0.3423397,0.203695,2.15643,0.9559206,1.091238,0.6079895,0.9411163,0.8003291,0.7132937,2.187358,0.6069255,1.138692,1.183125,1.644283,0.6712225,0.1990987,0.5775708,0.6950644,0.5695871,1.169779,1.551729,0,0.7381389,3.199039,0.9734489,0.7032686,0.1519738,0.6659225,0.8117275,0.6636755,3.175364,0.5772299,1.227148,1.36636,0.8350697,0.1501544,1.243181,0.1841807,0.1557292,1.018859,2.560995,1.034416,0.5801207,0.7682865,0.816915,1.445318,1.022017,17.2561,25.01594,0.7226813,13.66228,20.33794,16.48412,4.713705,8.226875,12.06907,9.332621,11.11917,7.361998,1.092399,0.6863872,1.762493
2,9.425,71.0126,Unknown,[M-H]-,,0.123,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,15.46,180821_Std_4uMStdsMix2InH2O_3,71.0126:1095070 72.01595:0 73.01931:243202,,0.2432977,0.9077868,0.2767924,1.775378,1.279365,1.550967,0.1888226,0.4627884,0.2001347,0.1133092,1.604527,5.150108,1.119098,0.2697681,0.181891,1.534847,0.2522184,0.4333784,1.686556,1.804388,23.08472,18.65453,0.1302149,0.2915374,0.7218293,2.462111,3.297834,2.660987,0.080775,0.3161553,1.839596,1.095617,8.26299,10.76667,1.994682,0.1998174,0.3041269,0.6283772,3.884657,0.8569171,2.350837,0.1749606,1.039402,0.5883387,0.4634017,3.458988,1.497772,3.0333,0.36872,0.568616,1.313834,1.690538,1.974123,0.2751186,3.954313,0.3461239,0.6602975,2.235184,0.2499727,0.3562334,0.1604742,7.650521,0.2982334,0.3336326,0.6176437,0.1943257,0.188914,0.1325058,0.6555605,0.2500767,0.5743051,0.2398898,1.035052,0.2456738,1.430362,9.603771,0.6615154,0.5519752,0.9421127,0.1965336,0.7275621,3.18949,0.382266,0.8311574,0.2715537,0.6082591,0.6727313,0.3788032,1.990846,1.908399,1.690259,3.107559,1.146793,2.917625,1.662665,0.8170754,0.3125725,0.2465759,0.3092648,0.4784051,0.649314,0.4029825,0.3199187,0.6992223,0.975076,0.4292949,0.3994002,1.844224,0.3031608,1.387005,0.4548261,0.6610613,0.7864872,1.948644,5.461159,0.4954277,1.231242,0.2195265,0.1994826,0.1459906,1.732863,0.8957521,0.1162231,2.508891,0.8284664,0.6710336,1.977708,0.2075424,0.177221,21.69979,12.55311,68.54668,15.81898,35.66111,11.74468,3.764288,0.3004547,0.1759856
3,11.829,71.0126,Unknown,[M-H]-,similar chromatogram in higher mz_292,0.819,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,21.85,180821_Poo_Day1Poo_DDAneg20,71.01266:224605 72.01601:0 73.01937:183191,60.85709:1464 63.64379:1547 65.62994:1702 69.79217:1661 71.01274:21611,0.7198244,7.615895,8.98505,9.056676,0.0571329,10.40049,11.44436,20.4418,42.42842,6.946564,1.458932,8.162627,4.314197,11.51199,22.01549,9.884574,26.5013,20.38703,2.374557,4.689316,10.84275,7.92306,11.03741,22.63507,16.07269,1.854499,14.99574,0.3908632,42.36528,34.51335,7.899012,20.97763,24.64581,24.72503,8.711467,82.94969,30.53134,21.73747,11.16648,10.42729,11.23225,29.91497,17.84004,15.39303,15.67765,21.80772,14.32428,13.42591,59.68849,19.72017,1.91778,11.84046,12.71669,16.39222,20.78285,1.013302,20.20906,14.354,19.89985,11.56295,61.56819,50.52692,6.940053,13.06321,26.51451,42.16305,27.38947,16.87761,46.55559,41.51333,24.24391,31.85446,10.06877,36.5803,15.70846,61.8354,12.02789,1.513475,17.9973,67.33308,18.68911,0.1699572,35.21832,13.31766,27.60452,20.1222,20.29461,21.01346,0.8204454,19.03298,15.48494,0.4464283,10.61669,30.43592,18.50746,11.48536,7.591746,25.07512,26.48834,26.52922,23.7669,19.23515,0.08875689,35.73945,18.33777,16.77654,9.984862,19.69175,29.25338,6.383494,27.92812,1.127508,24.35797,7.593279,2.115127,31.3245,29.18267,41.11363,11.35584,11.13851,10.73003,15.99454,6.296537,3.453236,0.9554099,18.23054,9.175174,18.2529,23.17829,2.592844,1.156647,8.499748,7.215384,21.66737,18.63787,9.415968,23.19182,30.48265
4,5.18,71.01261,Unknown,[M-H]-,,0.464,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,95.77,180821_Poo_Day1Poo_DDAneg50,71.01263:1310392 72.01598:0 73.01934:246830,54.49172:1493 61.17535:1826 71.01263:110524,2.979614,2.036706,0.4402221,31.53285,36.10016,48.19794,74.36707,92.31923,165.7341,0.3186578,23.44553,28.93565,31.94397,45.36211,0.8116179,54.99302,65.32556,117.5539,39.30715,24.75847,49.28237,40.50326,58.28166,105.0479,71.72279,70.91854,66.55359,40.5694,208.5753,0.9024373,1.987425,0.8616688,1.324197,63.1507,0.5079769,2.278926,91.30965,305.7411,120.2659,3.069535,1.932613,11.66136,35.16945,52.66041,156.7865,123.0235,180.5989,119.1652,1.398232,0.2779008,0.3862068,46.742,12.58855,106.3745,123.6523,90.87279,173.1182,7.948454,1.364195,0.4780948,1.331752,87.69222,56.6588,98.09402,216.0765,194.2561,0.4385787,0.1856119,0.7987864,119.6945,133.1302,208.6937,149.3683,297.9173,60.08243,0.674297,1.347203,0.4387947,48.24536,157.865,89.85132,80.96402,0.09782004,113.9362,1.639476,0.444273,4.514774,59.00203,28.88044,137.6151,165.443,104.7532,108.3044,0.7525293,0.5913224,2.931962,90.34396,268.2731,266.4652,136.6996,209.8667,166.4149,3.915306,1.137015,2.020685,120.1818,50.16438,64.78912,118.0753,47.14214,127.4161,4.346105,2.250108,1.384934,47.70119,80.25982,187.1269,1.53564,188.7673,97.99847,3.023336,2.288071,1.346138,3.200334,0.6540297,0.6034902,43.84871,80.25516,102.6659,1.297149,0.1873031,22.00403,35.56474,84.51504,67.3304,43.19678,133.7076,2.699056
